# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Apr 17 00:51:17 2019
#
# COLUMN BJD:            BJD
# COLUMN Magnitude:      Magnitude
# COLUMN Magnitude_Uncertainty: Magnitude_Uncertainty
# COLUMN Data_Quality_Flag: Data_Quality_Flag
# COLUMN Accepted:       Accepted
#
BJD,Magnitude,Magnitude_Uncertainty,Data_Quality_Flag,Accepted
2447868.65442,8.2469,0.021,16,1
2447868.66876,8.2393,0.015,16,1
2447892.73367,8.1808,0.016,16,1
2447892.74798,8.2412,0.016,18,1
2447892.82255,8.2202,0.009,16,1
2447892.83686,8.2440,0.009,16,1
2447892.91144,8.2508,0.009,17,1
2447925.24719,8.2640,0.014,17,1
2447925.26153,8.2464,0.010,17,1
2447925.33612,8.2476,0.010,17,1
2447944.79674,8.1560,0.011,16,1
2447944.88565,8.1575,0.011,16,1
2447944.89996,8.2102,0.011,17,1
2447999.61353,8.3613,0.017,48,0
2447999.62784,8.2303,0.012,16,1
2447999.70242,8.2277,0.018,16,1
2447999.71675,8.2420,0.015,16,1
2447999.79131,8.2431,0.012,16,1
2447999.80563,8.2536,0.012,16,1
2448033.99485,8.2571,0.015,17,1
2448034.09807,8.2491,0.012,17,1
2448059.32017,8.2443,0.009,16,1
2448059.33449,8.2522,0.015,16,1
2448059.40904,8.2472,0.011,16,1
2448059.42336,8.2340,0.016,16,1
2448090.40992,8.2338,0.017,16,1
2448090.42423,8.2446,0.013,16,1
2448090.49883,8.2231,0.011,16,1
2448090.51315,8.2459,0.010,16,1
2448149.67934,8.2222,0.011,16,1
2448149.69367,8.2185,0.018,16,1
2448149.76821,8.2249,0.010,16,1
2448149.78255,8.1770,0.010,16,1
2448149.85710,8.1918,0.011,16,1
2448149.87142,8.1686,0.012,16,1
2448182.19948,8.2307,0.011,16,1
2448182.28836,8.2312,0.011,16,1
2448182.30271,8.2313,0.010,16,1
2448210.18837,8.2658,0.012,17,1
2448210.20269,8.2393,0.013,18,1
2448210.27725,8.1718,0.020,16,1
2448210.29157,8.1725,0.016,16,1
2448210.36615,8.1528,0.017,16,1
2448210.38044,8.1257,0.018,17,1
2448237.11040,8.2015,0.013,16,1
2448237.12473,8.2159,0.020,16,1
2448268.21840,8.2354,0.019,16,1
2448268.29296,8.2209,0.019,16,1
2448268.30727,8.2098,0.017,16,1
2448289.17462,8.1329,0.014,16,1
2448289.18894,8.1738,0.019,16,1
2448289.26350,8.1257,0.016,16,1
2448323.37489,8.2496,0.020,16,1
2448323.38921,8.2651,0.021,16,1
2448323.46378,8.2637,0.016,16,1
2448323.47810,8.2727,0.015,16,1
2448342.39191,8.3683,0.023,50,0
2448342.40624,8.2377,0.023,18,1
2448342.48082,8.2441,0.021,16,1
2448342.49512,8.2593,0.019,16,1
2448342.56971,8.2115,0.020,16,1
2448342.58401,8.2250,0.016,16,1
2448377.48230,8.2180,0.020,16,1
2448377.49663,8.2409,0.019,16,1
2448400.14228,8.2119,0.021,16,1
2448400.15660,8.2347,0.021,16,1
2448400.23117,8.2604,0.015,16,1
2448400.24549,8.2552,0.024,16,1
2448432.83886,8.2337,0.017,16,1
2448432.85316,8.2607,0.017,16,1
2448432.92775,8.1829,0.018,16,1
2448432.94207,8.2285,0.017,16,1
2448462.25076,8.2223,0.011,16,1
2448490.86346,8.2665,0.017,18,1
2448490.95229,8.1721,0.016,17,1
2448490.96666,8.2546,0.013,17,1
2448524.00606,8.2142,0.013,16,1
2448524.02040,8.2315,0.013,17,1
2448524.09495,8.2470,0.014,16,1
2448524.10930,8.2251,0.012,16,1
2448551.40642,8.2383,0.011,16,1
2448551.42074,8.2113,0.011,16,1
2448551.49533,8.1526,0.012,16,1
2448551.50965,8.0845,0.010,16,1
2448551.58419,8.1413,0.009,16,1
2448580.83052,8.1754,0.020,16,1
2448580.90511,8.2433,0.021,16,1
2448580.91943,8.2161,0.023,24,0
2448633.68148,8.1221,0.012,16,1
2448633.69582,8.2007,0.011,16,1
2448666.81636,8.2442,0.022,16,1
2448666.83070,8.2422,0.020,16,1
2448666.90525,8.2456,0.019,16,1
2448666.91956,8.2520,0.016,16,1
2448685.92188,8.1803,0.019,16,1
2448685.93620,8.1295,0.024,16,1
2448686.01075,8.1757,0.021,16,1
2448686.02510,8.2305,0.021,16,1
2448721.01100,8.2353,0.020,16,1
2448721.02530,8.2253,0.012,16,1
2448721.09989,8.2425,0.021,17,1
2448741.71639,8.2410,0.018,16,1
2448741.73073,8.2382,0.011,16,1
2448741.80531,8.2551,0.011,16,1
2448741.81961,8.2598,0.012,16,1
2448775.56555,8.2397,0.012,16,1
2448775.57988,8.2433,0.022,16,1
2448775.74338,8.2316,0.014,16,1
2448802.22344,8.2288,0.011,16,1
2448802.23776,8.2393,0.010,16,1
2448802.40123,8.2285,0.015,18,1
2448802.41553,8.1250,0.015,16,1
2448832.72266,8.2400,0.016,16,1
2448832.73700,8.1953,0.019,16,1
2448995.82472,8.2469,0.010,16,1
2448995.89927,8.1416,0.020,16,1
2449019.26047,8.1015,0.017,16,1
2449019.33500,8.1245,0.016,16,1
2449019.34934,8.2087,0.013,16,1
2449019.42389,8.1874,0.020,16,1
2449053.84421,8.2512,0.013,16,1
2449053.91877,8.2474,0.017,16,1
2449053.93310,8.2113,0.014,16,1
