# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Apr 19 12:35:56 2019
#
# COLUMN BJD:            BJD
# COLUMN Magnitude:      Magnitude
# COLUMN Magnitude_Uncertainty: Magnitude_Uncertainty
# COLUMN Data_Quality_Flag: Data_Quality_Flag
# COLUMN Accepted:       Accepted
#
BJD,Magnitude,Magnitude_Uncertainty,Data_Quality_Flag,Accepted
2447896.83369,8.3114,0.013,0,1
2447896.84800,8.3175,0.016,0,1
2448026.87056,8.3168,0.011,0,1
2448026.88486,8.3112,0.010,0,1
2448026.95946,8.3011,0.010,0,1
2448026.97376,8.3028,0.010,0,1
2448051.39784,8.3044,0.015,0,1
2448051.41216,8.2662,0.021,1,1
2448075.82800,8.2941,0.010,0,1
2448075.84237,8.3080,0.010,0,1
2448076.00581,8.3129,0.011,0,1
2448076.02015,8.3052,0.010,0,1
2448198.11828,8.2997,0.010,0,1
2448198.13259,8.2299,0.022,16,0
2448198.20716,8.3108,0.009,0,1
2448198.22146,8.3035,0.018,0,1
2448198.29604,8.3039,0.011,0,1
2448198.31033,8.3096,0.011,0,1
2448198.38491,8.3260,0.012,0,1
2448217.41542,8.2946,0.020,0,1
2448217.57885,8.3227,0.009,0,1
2448217.59316,8.3073,0.014,0,1
2448244.23178,8.3044,0.011,0,1
2448244.24609,8.2901,0.015,0,1
2448244.32066,8.3136,0.012,0,1
2448244.33497,8.3114,0.014,0,1
2448244.40953,8.2883,0.012,0,1
2448374.28063,8.3015,0.013,0,1
2448374.35517,8.3083,0.018,0,1
2448374.36951,8.2935,0.021,0,1
2448374.44407,8.3143,0.016,0,1
2448374.45841,8.2930,0.017,0,1
2448389.46512,8.3061,0.016,0,1
2448389.47942,8.3191,0.014,0,1
2448389.55399,8.3143,0.020,0,1
2448389.56833,8.3482,0.018,0,1
2448389.64292,8.2979,0.011,0,1
2448389.65722,8.3022,0.011,0,1
2448421.46774,8.3029,0.014,0,1
2448421.54230,8.2939,0.021,0,1
2448421.55662,8.2914,0.012,0,1
2448590.86982,8.3075,0.009,0,1
2448590.88419,8.2781,0.015,0,1
2448590.95872,8.2836,0.010,0,1
2448590.97309,8.2966,0.015,0,1
2448591.04760,8.2808,0.010,0,1
2448621.42941,8.2930,0.010,0,1
2448621.44375,8.3109,0.015,0,1
2448621.51832,8.3124,0.014,0,1
2448621.53264,8.2997,0.016,0,1
2448621.60719,8.3156,0.012,0,1
2448635.29283,8.3181,0.021,0,1
2448635.30713,8.2803,0.009,0,1
2448635.38171,8.3182,0.022,2,1
2448635.39602,8.2965,0.010,0,1
2448635.47062,8.3144,0.015,0,1
2448635.48489,8.3312,0.014,0,1
2448766.93191,8.2874,0.018,0,1
2448766.94627,8.3089,0.012,0,1
2448767.02085,8.3074,0.021,0,1
2448767.03514,8.2944,0.013,0,1
2448767.10974,8.2651,0.019,0,1
2448767.12404,8.3066,0.014,0,1
2448795.81197,8.3066,0.013,0,1
2448795.82627,8.3354,0.017,2,1
2448795.91518,8.3104,0.011,0,1
