# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Apr 17 01:02:24 2019
#
# COLUMN BJD:            BJD
# COLUMN Magnitude:      Magnitude
# COLUMN Magnitude_Uncertainty: Magnitude_Uncertainty
# COLUMN Data_Quality_Flag: Data_Quality_Flag
# COLUMN Accepted:       Accepted
#
BJD,Magnitude,Magnitude_Uncertainty,Data_Quality_Flag,Accepted
2447892.91118,9.8538,0.016,1,1
2447892.92550,9.8591,0.020,1,1
2447945.24127,9.8711,0.020,0,1
2447945.33015,9.8548,0.019,0,1
2447979.90039,9.8688,0.016,1,1
2447979.97498,9.8680,0.013,1,1
2448000.05832,9.8022,0.022,32,0
2448034.36481,9.9292,0.024,0,1
2448034.43936,9.8745,0.018,0,1
2448034.45365,9.7710,0.019,16,0
2448034.52827,9.8655,0.018,0,1
2448034.54258,9.8595,0.020,0,1
2448059.23157,9.8737,0.020,0,1
2448059.24590,9.8675,0.022,0,1
2448059.32047,9.8620,0.022,0,1
2448059.33479,9.8298,0.028,0,1
2448090.85395,9.8601,0.020,0,1
2448090.86826,9.8760,0.019,0,1
2448090.94282,9.8814,0.018,0,1
2448090.95715,9.8169,0.018,0,1
2448149.67876,9.8483,0.018,0,1
2448149.69308,9.8548,0.016,0,1
2448149.76765,9.8688,0.023,0,1
2448149.78197,9.8568,0.018,0,1
2448149.85654,9.8465,0.022,0,1
2448149.87085,9.8516,0.020,0,1
2448181.84363,9.8703,0.019,0,1
2448181.85796,9.8518,0.020,0,1
2448181.93251,9.8009,0.022,18,0
2448181.94684,9.8300,0.020,0,1
2448209.83267,9.8896,0.018,0,1
2448209.84697,9.8421,0.018,0,1
2448237.12440,9.8541,0.018,0,1
2448237.21331,9.8664,0.019,0,1
2448267.84893,9.8293,0.019,0,1
2448267.86323,9.8373,0.018,0,1
2448267.93782,9.8775,0.018,0,1
2448267.95211,9.8550,0.021,0,1
2448289.54442,9.8722,0.018,0,1
2448289.61898,9.8692,0.018,0,1
2448289.63331,9.8803,0.018,0,1
2448323.28657,9.8313,0.025,0,1
2448323.30090,9.8314,0.046,0,1
2448323.37546,9.8808,0.017,0,1
2448323.38978,9.8755,0.022,0,1
2448323.47867,9.8750,0.018,0,1
2448342.83662,9.8385,0.030,1,1
2448342.85094,9.8544,0.033,0,1
2448342.92550,9.8215,0.025,0,1
2448342.93984,9.8609,0.034,0,1
2448377.67465,9.8210,0.045,0,1
2448377.83815,9.8519,0.024,0,1
2448377.85244,9.9098,0.033,0,1
2448400.23152,9.9432,0.026,0,1
2448400.24583,9.8526,0.018,0,1
2448400.32041,9.9110,0.024,0,1
2448433.28305,9.7723,0.022,50,0
2448433.29736,9.8162,0.031,2,1
2448461.71754,9.8562,0.019,0,1
2448461.73190,9.8271,0.028,0,1
2448461.80646,9.4316,0.020,16,0
2448461.82077,9.8444,0.019,0,1
2448461.89534,9.8953,0.033,0,1
2448461.90969,9.8424,0.020,0,1
2448523.56140,9.9297,0.030,0,1
2448523.57572,9.8502,0.020,0,1
2448523.65029,9.8967,0.042,0,1
2448523.66464,9.8449,0.018,0,1
2448551.06483,9.8786,0.029,0,1
2448551.13938,9.8676,0.025,0,1
2448551.15369,9.8492,0.026,0,1
2448580.72697,9.8633,0.020,0,1
2448580.74129,9.8455,0.065,18,0
2448580.81584,9.8575,0.019,0,1
2448580.83017,9.9382,0.049,0,1
2448580.90477,9.8579,0.019,0,1
2448580.91908,9.7886,0.046,264,0
2448610.32702,9.8709,0.018,0,1
2448633.87341,9.8694,0.023,0,1
2448633.94795,9.8778,0.020,0,1
2448633.96229,9.8789,0.018,0,1
2448634.03686,9.8785,0.019,0,1
2448666.72803,9.8573,0.018,0,1
2448666.74237,9.8778,0.020,0,1
2448686.36644,9.8774,0.029,0,1
2448686.38076,9.8876,0.044,0,1
2448686.45534,9.8618,0.041,0,1
2448686.46965,9.8328,0.027,0,1
2448721.20351,9.8579,0.020,0,1
2448721.27812,9.8554,0.017,0,1
2448721.29243,9.8639,0.020,0,1
2448741.90884,9.8174,0.050,0,1
2448742.07233,9.8265,0.022,0,1
2448776.02430,9.8972,0.023,0,1
2448776.20206,9.8530,0.037,0,1
2448802.04593,9.8496,0.040,0,1
2448802.06024,9.8986,0.019,0,1
2448802.13481,9.8421,0.031,0,1
2448802.14912,9.8823,0.018,0,1
2448802.22369,9.8655,0.047,0,1
2448832.98761,9.8505,0.019,0,1
2449053.84480,9.8793,0.017,0,1
