# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Apr 17 01:05:43 2019
#
# COLUMN BJD:            BJD
# COLUMN Magnitude:      Magnitude
# COLUMN Magnitude_Uncertainty: Magnitude_Uncertainty
# COLUMN Data_Quality_Flag: Data_Quality_Flag
# COLUMN Accepted:       Accepted
#
BJD,Magnitude,Magnitude_Uncertainty,Data_Quality_Flag,Accepted
2447835.86891,5.7893,0.005,1,1
2447835.88323,5.7854,0.004,1,1
2447835.95779,5.7944,0.005,1,1
2447835.97212,5.7852,0.005,1,1
2447888.73133,5.7697,0.006,1,1
2447888.74563,5.7907,0.007,1,1
2447888.82022,5.7857,0.005,1,1
2447888.83454,5.7829,0.004,1,1
2447888.90910,5.7736,0.005,17,0
2447888.92341,5.7914,0.007,1,1
2447922.32501,5.7920,0.004,1,1
2447922.39960,5.7845,0.006,0,1
2447943.56289,5.7903,0.007,1,1
2447943.65179,5.7832,0.006,0,1
2447943.72634,5.7828,0.005,0,1
2447975.44357,5.7777,0.005,0,1
2447975.45787,5.7887,0.005,0,1
2447975.53248,5.7805,0.004,0,1
2448002.38171,5.7741,0.004,0,1
2448002.45623,5.7874,0.004,0,1
2448002.47058,5.7864,0.004,0,1
2448002.54514,5.7821,0.006,0,1
2448002.55947,5.7827,0.004,0,1
2448032.04532,5.7871,0.005,0,1
2448032.05966,5.7936,0.006,0,1
2448032.13421,5.7881,0.007,0,1
2448032.14854,5.7937,0.004,0,1
2448064.12207,5.7871,0.006,0,1
2448064.13639,5.7814,0.004,0,1
2448064.21095,5.7894,0.006,0,1
2448064.22528,5.7854,0.005,0,1
2448064.29983,5.7828,0.006,0,1
2448064.31417,5.7899,0.005,0,1
2448092.91764,5.7905,0.005,0,1
2448092.99221,5.7894,0.004,0,1
2448093.00655,5.7852,0.005,0,1
2448093.08110,5.7849,0.004,0,1
2448093.09544,5.7916,0.005,0,1
2448154.56687,5.7791,0.005,0,1
2448154.58118,5.7852,0.004,0,1
2448154.65576,5.7866,0.004,0,1
2448154.67006,5.7873,0.005,0,1
2448154.74464,5.7861,0.004,0,1
2448154.75895,5.7828,0.004,0,1
2448179.71279,5.8356,0.014,34,0
2448179.72711,5.7893,0.006,0,1
2448179.81599,5.7877,0.005,1,1
2448179.89057,5.7870,0.005,0,1
2448212.58248,5.7912,0.009,1,1
2448212.59674,5.7824,0.005,1,1
2448212.68564,5.7851,0.005,0,1
2448232.84267,5.7978,0.008,0,1
2448232.85698,5.7689,0.007,0,1
2448232.93156,5.7852,0.004,0,1
2448232.94588,5.7899,0.006,0,1
2448266.51027,5.7823,0.004,0,1
2448266.52459,5.7848,0.005,0,1
2448266.59916,5.7927,0.005,0,1
2448266.61348,5.7905,0.005,0,1
2448286.59325,5.7864,0.005,0,1
2448286.60758,5.7875,0.005,0,1
2448319.12270,5.7816,0.008,1,1
2448319.28615,5.7798,0.006,0,1
2448319.30047,5.7878,0.005,0,1
2448343.63348,5.8085,0.008,10,0
2448343.64781,5.7932,0.007,2,1
2448343.72239,5.7915,0.006,0,1
2448343.73668,5.7828,0.006,0,1
2448374.10963,5.7894,0.005,0,1
2448374.12393,5.7829,0.007,0,1
2448404.58714,5.7948,0.008,0,1
2448404.67605,5.7912,0.006,1,1
2448404.69038,5.7856,0.004,0,1
2448404.76496,5.7894,0.005,0,1
2448433.37799,5.7934,0.004,0,1
2448433.39230,5.7880,0.005,0,1
2448433.46689,5.7830,0.004,0,1
2448433.48119,5.7951,0.005,0,1
2448433.55576,5.8006,0.006,8,0
2448433.57011,5.7967,0.005,2,1
2448465.80971,5.7865,0.005,0,1
2448465.82407,5.7829,0.006,0,1
2448465.89858,5.7883,0.005,0,1
2448465.91295,5.7785,0.007,0,1
2448495.48688,5.7871,0.009,0,1
2448495.50120,5.7774,0.007,0,1
2448495.57577,5.7818,0.005,0,1
2448495.59009,5.7681,0.006,0,1
2448495.66466,5.7845,0.008,0,1
2448495.67898,5.7786,0.007,0,1
2448523.12031,5.7920,0.006,0,1
2448523.13466,5.7882,0.006,0,1
2448523.20919,5.7909,0.007,0,1
2448523.22354,5.7751,0.007,0,1
